Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1uF,
C10,0603,1,10uf,
C11,0603,1,100nf,
"C12, C13, C14, C15, C16, C18, C2, C20, C3, C4, C6, C7, C8, C9",0603,14,0.1uF,
"C17, C19",0603,2,4.7uf,
C5,0603,1,22uF,
"CN1, CN2, CN3, CN4, CN5, CN6",CONN-TH_3P-P5.08_DIBO_DB128V-5.08-3P-X,6,~,
"D1, D2, D3, D4, D5, D6",D_SMA,6,1N4007,
"D10, D11, D12, D14, D7, D8, D9",0805,7,LED,
D13,0603,1,LED,
D16,SMB_L4.6-W3.6-LS5.3-RD,1,~,
J1,PinHeader_1x02_P2.54mm_Vertical,1,S1,
"J2, J5, J6",PinHeader_1x02_P2.54mm_Vertical,3,S2,
J3,PinHeader_1x02_P2.54mm_Vertical,1,S3,
J4,PinHeader_1x02_P2.54mm_Vertical,1,S4,
J7,PinHeader_1x06_P2.54mm_Vertical,1,FTDI Pins,
J8,TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal,1,AC IN,
"Q10, Q11, Q6, Q7, Q8, Q9",SOT-23,6,BC847,
"Q3, Q4",SOT-23,2,SS8050,
"R1, R10, R11, R14, R15, R18, R19, R22, R23, R3, R6, R7",0603,12,220R,
"R12, R16, R2, R20, R24, R8",0603,6,1K,
"R13, R17, R21, R4, R5, R9",0603,6,DNP,
"R25, R26, R27, R28, R31, R33, R34, R35, R36, R37, R38",0603,11,10K,
R29,RES-TH_L16.0-W5.2-P7.50-D0.8-S4.20,1,430pF@1kHz,
"R30, R32",0603,2,4.7K,
"RLY1, RLY2, RLY3, RLY4, RLY5, RLY6",RELAY-TH_SRD-XXVDC-XL-C,6,~,
"SW1, SW4, SW5, SW6, SW7, SW8",SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,6,~,
"SW2, SW3",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U11,SOT-23-5,1,MIC5219-3.3YM5,
U2,PWRM-TH_HLK-20MXX,1,~,
"U3, U4, U5, U6, U7, U8",DIP-4_W7.62mm,6,PC817,
U9,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
